,icao24,start,end
570,a27f07,1136425,1142089
571,a95dd3,3119,795068
572,aa8c10,3121,815818
573,a1c9f5,3124,241976
574,aa2a7f,3125,89502
575,4844a0,3141,264379
576,a291ce,3165,73413
577,a90408,3171,554583
578,a21142,3172,966046
579,a8db1c,3177,824422
580,406de5,3185,110617
581,a05f31,3189,1274226
582,a2189c,3198,470369
583,a211ef,3202,1502658
584,a86a7e,3206,1440319
585,a703c1,3207,944604
586,aac118,3209,462994
587,aac118,469943,1681478
588,7c6c53,3215,156309
589,89630e,3217,1215407
590,e48502,3221,393560
591,ad225b,3224,79744
592,a01f73,3225,379323
593,a8ebca,3237,599248
594,a2200a,3242,936420
595,ab3d14,3243,1433588
596,a42020,3246,711049
597,aaa644,3265,869627
598,7c7a48,3268,1382239
599,440795,3270,432428
600,c0190c,3283,1027054
601,3c542c,3284,1127491
602,a2fdb2,3290,561745
603,406d7b,3294,178964
604,a0acbb,3309,1174132
605,a2845b,3310,139688
606,e4906a,3329,1675342
607,aaa224,3332,248511
608,abef54,3336,846309
609,e48f9c,3337,5018
610,ab9ab3,3338,531222
611,06a0dd,3353,1702779
612,a7d01c,3354,1317907
613,a4b96a,3361,741250
614,ac8d3c,3365,301794
615,a98520,3371,1741971
616,ab08b2,3377,132492
617,a50192,3379,713907
618,a406c9,3383,1070515
619,acd486,3385,470022
620,3c1ffb,3386,416973
621,3c1ffb,698176,1674941
622,7415a1,3394,622519
623,a40797,3396,531409
624,a10231,3399,1115095
625,abf2ea,3400,1736385
626,789239,3408,1518309
627,a3a235,3414,386013
628,7c6d9f,3419,1576043
629,7c6d9f,1583245,1588093
630,a1e5f1,3424,225783
631,aa4a65,3425,1519531
632,aaf60a,3432,410748
633,a8e813,3433,24001
634,a5ac61,3441,667169
635,e495b1,3443,59123
636,ad727d,3451,462312
637,a69cce,3454,1590927
638,a0c0e6,3456,409861
639,a9d5e5,3458,1728578
640,e48b64,3461,1367960
641,a4460d,3466,1290107
642,aa0292,3468,1417390
643,a2003e,3470,5555
644,447ac8,3471,264699
645,447ac8,271874,599082
646,447ac8,606694,830886
647,447ac8,833921,891949
648,447ac8,892489,1324493
649,447ac8,1331266,1482387
650,447ac8,1488471,1497270
651,447ac8,1503029,1702765
652,a224fa,3479,1510975
653,7c705d,3480,363401
654,406e11,3485,1208520
655,346199,3487,728535
656,acf946,3491,193336
657,7c1468,3492,876629
658,a9017a,3506,340720
659,ab742b,3511,1604576
660,a41144,3512,1216368
661,ac9658,3513,1135127
662,71c225,3517,301863
663,ac7b87,3521,1722083
664,abec03,3528,446781
665,a13608,3531,950035
666,ab6394,3537,124812
667,ab6394,131661,133374
668,a03b8e,3541,1158443
669,acb10a,3542,1502505
670,a04bbe,3549,950289
671,a4e8b4,3552,1165568
672,c061d1,3555,1128702
673,a21833,3560,1252789
674,c02fd5,3568,1397788
675,aa779d,3588,943222
676,a877d3,3589,211041
677,45ce48,3592,689964
678,45ce48,735626,741546
679,c066fb,3599,1729909
680,aa8a09,3604,1144156
681,a8c724,3610,242388
682,a87c4f,3614,516308
